"Sex","AGE","Thrown Out","Injury Extent","Seat Belt"
"Male","053","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","030","Thrown Out","Fatal","Not Worn"
"Male","017","Thrown Out","Treated at Hospital","Not Worn"
"Female","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","073","Unknown","Treated at Hospital","Not Worn"
"Male","052","Not Thrown Out","By Private","Not Worn"
"Male","032","Unknown","Treated at Hospital","Not Worn"
"Male","022","Thrown Out","Admitted to Hospital","Not Worn"
"Male","072","Unknown","By Private","Not Worn"
"Male","064","Thrown Out","Admitted to Hospital","Not Worn"
"Male","013","Unknown","Treated at Hospital","Not Worn"
"Male","033","Thrown Out","Admitted to Hospital","Not Worn"
"Male","059","Unknown","Treated at Hospital","Not Worn"
"Female","029","Thrown Out","Treated at Hospital","Not Worn"
"Male","039","Thrown Out","Treated at Hospital","Not Worn"
"Male","019","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","020","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","056","Unknown","Treated at Hospital","Not Worn"
"Female","053","Thrown Out","Admitted to Hospital","Not Worn"
"Male","064","Thrown Out","Treated at Hospital","Not Worn"
"Female","019","Thrown Out","Treated at Hospital","Not Worn"
"Male","020","Thrown Out","Treated at Hospital","Not Worn"
"Male","057","Thrown Out","Admitted to Hospital","Not Worn"
"Male","060","Thrown Out","Admitted to Hospital","Not Worn"
"Male","045","Thrown Out","Treated at Hospital","Not Worn"
"Male","038","Thrown Out","By Private","Not Worn"
"Male","027","Unknown","Admitted to Hospital","Not Worn"
"Female","057","Thrown Out","Treated at Hospital","Not Worn"
"Male","020","Unknown","Fatal","Not Worn"
"Female","041","Unknown","Treated at Hospital","Not Worn"
"Female","018","Unknown","Treated at Hospital","Not Worn"
"Male","014","Unknown","By Private","Not Worn"
"Female","034","Thrown Out","Treated at Hospital","Not Worn"
"Female","040","Thrown Out","Treated at Hospital","Not Worn"
"Male","052","Unknown","Admitted to Hospital","Not Worn"
"Female","042","Unknown","Treated at Hospital","Not Worn"
"Female","022","Thrown Out","Treated at Hospital","Not Worn"
"Female","020","Unknown","Treated at Hospital","Not Worn"
"Female","038","Thrown Out","Treated at Hospital","Not Worn"
"Male","037","Unknown","Treated at Hospital","Not Worn"
"Male","017","Thrown Out","Treated at Hospital","Not Worn"
"Male","068","Thrown Out","Treated at Hospital","Not Worn"
"Male","030","Thrown Out","Admitted to Hospital","Not Worn"
"Male","039","Unknown","Treated at Hospital","Not Worn"
"Female","044","Thrown Out","By Private","Not Worn"
"Male","027","Thrown Out","Admitted to Hospital","Not Worn"
"Male","029","Thrown Out","Treated at Hospital","Not Worn"
"Male","019","Thrown Out","Admitted to Hospital","Not Worn"
"Male","024","Thrown Out","Admitted to Hospital","Not Worn"
"Male","037","Unknown","By Private","Not Worn"
"Male","038","Thrown Out","Admitted to Hospital","Not Worn"
"Male","038","Thrown Out","Treated at Hospital","Not Worn"
"Male","017","Thrown Out","Admitted to Hospital","Not Worn"
"Male","059","Thrown Out","Treated at Hospital","Not Worn"
"Female","055","Unknown","Admitted to Hospital","Not Worn"
"Male","080","Unknown","Admitted to Hospital","Not Worn"
"Male","068","Thrown Out","By Private","Not Worn"
"Male","075","Thrown Out","Admitted to Hospital","Not Worn"
"Male","048","Thrown Out","By Private","Not Worn"
"Male","075","Unknown","Treated at Hospital","Not Worn"
"Male","027","Thrown Out","By Private","Not Worn"
"Male","029","Thrown Out","Admitted to Hospital","Not Worn"
"Male","026","Unknown","Treated at Hospital","Not Worn"
"Female","031","Unknown","Fatal","Not Worn"
"Female","085","Unknown","Admitted to Hospital","Not Worn"
"Male","066","Thrown Out","Treated at Hospital","Not Worn"
"Female","021","Not Thrown Out","Fatal","Fitted - Not Worn"
"Male","082","Unknown","Treated at Hospital","Not Worn"
"Male","031","Unknown","Treated at Hospital","Not Worn"
"Male","034","Thrown Out","Treated at Hospital","Not Worn"
"Male","072","Thrown Out","Treated at Hospital","Not Worn"
"Female","059","Unknown","By Private","Not Worn"
"Female","055","Thrown Out","Treated at Hospital","Not Worn"
"Male","010","Unknown","Treated at Hospital","Not Worn"
"Male","048","Thrown Out","Admitted to Hospital","Not Worn"
"Male","026","Thrown Out","Admitted to Hospital","Not Worn"
"Male","056","Thrown Out","Admitted to Hospital","Not Worn"
"Male","042","Thrown Out","Treated at Hospital","Not Worn"
"Male","057","Thrown Out","Admitted to Hospital","Not Worn"
"Male","030","Thrown Out","Treated at Hospital","Not Worn"
"Male","047","Thrown Out","Treated at Hospital","Not Worn"
"Unknown","XXX","Unknown","Treated at Hospital","Not Worn"
"Male","028","Thrown Out","By Private","Not Worn"
"Female","033","Unknown","Admitted to Hospital","Not Worn"
"Male","053","Thrown Out","Treated at Hospital","Not Worn"
"Male","044","Thrown Out","Admitted to Hospital","Not Worn"
"Male","014","Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Thrown Out","Treated at Hospital","Not Worn"
"Female","033","Unknown","Admitted to Hospital","Not Worn"
"Male","059","Thrown Out","Admitted to Hospital","Not Worn"
"Male","038","Thrown Out","Treated at Hospital","Not Worn"
"Male","064","Thrown Out","Admitted to Hospital","Not Worn"
"Male","027","Thrown Out","Admitted to Hospital","Not Worn"
"Male","017","Thrown Out","Admitted to Hospital","Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Male","023","Thrown Out","Admitted to Hospital","Not Worn"
"Male","032","Unknown","By Private","Not Worn"
"Male","018","Thrown Out","Admitted to Hospital","Not Worn"
"Male","068","Thrown Out","Treated at Hospital","Not Worn"
"Female","045","Thrown Out","By Private","Not Worn"
"Male","020","Not Thrown Out","Admitted to Hospital","Not Worn"
"Female","027","Thrown Out","Treated at Hospital","Not Worn"
"Male","056","Unknown","By Private","Not Worn"
"Male","023","Not Thrown Out","Fatal","Fitted - Not Worn"
"Male","020","Thrown Out","Treated at Hospital","Not Worn"
"Male","020","Thrown Out","Treated at Hospital","Not Worn"
"Female","047","Thrown Out","Treated at Hospital","Not Worn"
"Male","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","040","Unknown","Treated at Hospital","Not Worn"
"Male","066","Unknown","Admitted to Hospital","Not Worn"
"Male","039","Thrown Out","Admitted to Hospital","Not Worn"
"Male","029","Thrown Out","By Private","Not Worn"
"Male","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","057","Thrown Out","Treated at Hospital","Not Worn"
"Female","060","Thrown Out","Treated at Hospital","Not Worn"
"Female","074","Unknown","Treated at Hospital","Not Worn"
"Male","033","Thrown Out","Treated at Hospital","Not Worn"
"Male","019","Thrown Out","Treated at Hospital","Not Worn"
"Female","035","Thrown Out","By Private","Not Worn"
"Male","036","Thrown Out","Treated at Hospital","Not Worn"
"Male","051","Thrown Out","Admitted to Hospital","Not Worn"
"Male","062","Thrown Out","Treated at Hospital","Not Worn"
"Male","043","Thrown Out","Treated at Hospital","Not Worn"
"Female","026","Thrown Out","Admitted to Hospital","Not Worn"
"Male","038","Unknown","Treated at Hospital","Not Worn"
"Male","064","Thrown Out","Treated at Hospital","Not Worn"
"Male","026","Thrown Out","Treated at Hospital","Not Worn"
"Male","029","Thrown Out","Admitted to Hospital","Not Worn"
"Female","066","Unknown","Admitted to Hospital","Not Worn"
"Male","040","Unknown","Treated at Hospital","Not Worn"
"Female","031","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","063","Unknown","Treated at Hospital","Not Worn"
"Female","031","Thrown Out","Admitted to Hospital","Not Worn"
"Female","034","Thrown Out","Treated at Hospital","Not Worn"
"Male","027","Thrown Out","By Private","Not Worn"
"Male","051","Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Thrown Out","Treated at Hospital","Not Worn"
"Female","XXX","Unknown","Treated at Hospital","Not Worn"
"Male","092","Unknown","Treated at Hospital","Not Worn"
"Male","043","Thrown Out","By Private","Not Worn"
"Male","053","Thrown Out","Treated at Hospital","Not Worn"
"Male","017","Thrown Out","Treated at Hospital","Not Worn"
"Male","042","Thrown Out","Admitted to Hospital","Not Worn"
"Male","027","Thrown Out","Treated at Hospital","Not Worn"
"Male","015","Thrown Out","Treated at Hospital","Not Worn"
"Female","031","Unknown","Treated at Hospital","Not Worn"
"Male","050","Thrown Out","Admitted to Hospital","Not Worn"
"Male","049","Thrown Out","Admitted to Hospital","Not Worn"
"Female","038","Unknown","Treated at Hospital","Not Worn"
"Male","027","Thrown Out","Treated at Hospital","Not Worn"
"Female","032","Thrown Out","Treated at Hospital","Not Worn"
"Male","026","Thrown Out","Treated at Hospital","Not Worn"
"Male","059","Thrown Out","Treated at Hospital","Not Worn"
"Male","020","Thrown Out","Admitted to Hospital","Not Worn"
"Male","051","Thrown Out","Admitted to Hospital","Not Worn"
"Male","034","Thrown Out","Admitted to Hospital","Not Worn"
"Female","027","Unknown","Treated at Hospital","Not Worn"
"Female","001","Unknown","Admitted to Hospital","Not Worn"
"Male","042","Thrown Out","By Private","Not Worn"
"Male","056","Thrown Out","Treated at Hospital","Not Worn"
"Female","058","Thrown Out","Treated at Hospital","Not Worn"
"Female","041","Thrown Out","Treated at Hospital","Not Worn"
"Male","019","Thrown Out","Admitted to Hospital","Not Worn"
"Female","020","Thrown Out","Treated at Hospital","Not Worn"
"Male","073","Unknown","Treated at Hospital","Not Worn"
"Male","057","Thrown Out","Admitted to Hospital","Not Worn"
"Male","066","Thrown Out","Treated at Hospital","Not Worn"
"Female","082","Unknown","Admitted to Hospital","Not Worn"
"Male","011","Thrown Out","Treated at Hospital","Not Worn"
"Male","027","Unknown","Treated at Hospital","Not Worn"
"Male","007","Unknown","Treated at Hospital","Not Worn"
"Male","016","Thrown Out","Admitted to Hospital","Not Worn"
"Male","053","Thrown Out","Treated at Hospital","Not Worn"
"Female","038","Thrown Out","By Private","Not Worn"
"Male","024","Thrown Out","Admitted to Hospital","Not Worn"
"Male","032","Thrown Out","By Private","Not Worn"
"Male","028","Thrown Out","Treated at Hospital","Not Worn"
"Male","060","Thrown Out","Admitted to Hospital","Not Worn"
"Male","073","Thrown Out","Treated at Hospital","Not Worn"
"Male","008","Thrown Out","Admitted to Hospital","Not Worn"
"Male","052","Thrown Out","Treated at Hospital","Not Worn"
"Male","030","Thrown Out","Admitted to Hospital","Not Worn"
"Female","027","Unknown","Treated at Hospital","Not Worn"
"Female","013","Unknown","Treated at Hospital","Not Worn"
"Male","048","Thrown Out","Treated at Hospital","Not Worn"
"Male","017","Thrown Out","Admitted to Hospital","Not Worn"
"Male","021","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","030","Thrown Out","Treated at Hospital","Not Worn"
"Female","043","Thrown Out","Treated at Hospital","Not Worn"
"Male","041","Thrown Out","Treated at Hospital","Not Worn"
"Male","023","Thrown Out","By Private","Not Worn"
"Male","049","Thrown Out","By Private","Not Worn"
"Female","058","Thrown Out","Admitted to Hospital","Not Worn"
"Male","016","Thrown Out","Treated at Hospital","Not Worn"
"Male","054","Thrown Out","Treated at Hospital","Not Worn"
"Female","055","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","056","Thrown Out","Admitted to Hospital","Not Worn"
"Male","072","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Male","045","Unknown","By Private","Not Worn"
"Male","044","Thrown Out","Treated at Hospital","Not Worn"
"Male","004","Unknown","Treated at Hospital","Not Worn"
"Female","039","Unknown","By Private","Not Worn"
"Male","079","Unknown","Admitted to Hospital","Not Worn"
"Female","XXX","Unknown","Admitted to Hospital","Not Worn"
"Female","020","Thrown Out","Treated at Hospital","Not Worn"
"Male","052","Thrown Out","Treated at Hospital","Not Worn"
"Male","035","Thrown Out","Admitted to Hospital","Not Worn"
"Male","040","Thrown Out","Treated at Hospital","Not Worn"
"Female","045","Unknown","By Private","Not Worn"
"Male","006","Thrown Out","Treated at Hospital","Not Worn"
"Female","052","Thrown Out","By Private","Not Worn"
"Female","079","Unknown","Treated at Hospital","Not Worn"
"Male","057","Thrown Out","Treated at Hospital","Not Worn"
"Female","002","Unknown","Fatal","Not Worn"
"Male","049","Thrown Out","Admitted to Hospital","Not Worn"
"Male","031","Thrown Out","Admitted to Hospital","Not Worn"
"Male","062","Thrown Out","Treated at Hospital","Not Worn"
"Male","049","Unknown","Treated at Hospital","Not Worn"
"Male","005","Unknown","Admitted to Hospital","Not Worn"
"Female","013","Unknown","Admitted to Hospital","Not Worn"
"Male","080","Unknown","Treated at Hospital","Not Worn"
"Male","016","Thrown Out","Admitted to Hospital","Not Worn"
"Female","028","Thrown Out","Treated at Hospital","Not Worn"
"Female","051","Thrown Out","By Private","Not Worn"
"Female","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Female","080","Thrown Out","Fatal","Fitted - Not Worn"
"Male","042","Thrown Out","Admitted to Hospital","Not Worn"
"Male","051","Unknown","Fatal","Not Worn"
"Male","048","Thrown Out","By Private","Not Worn"
"Female","014","Thrown Out","Treated at Hospital","Not Worn"
"Male","046","Thrown Out","By Private","Not Worn"
"Male","028","Thrown Out","Admitted to Hospital","Not Worn"
"Female","030","Thrown Out","Admitted to Hospital","Not Worn"
"Male","053","Thrown Out","Admitted to Hospital","Not Worn"
"Female","022","Unknown","Admitted to Hospital","Not Worn"
"Male","008","Thrown Out","Treated at Hospital","Not Worn"
"Male","031","Thrown Out","Fatal","Not Worn"
"Male","042","Thrown Out","Treated at Hospital","Not Worn"
"Male","063","Thrown Out","Admitted to Hospital","Not Worn"
"Male","036","Thrown Out","Treated at Hospital","Not Worn"
"Female","007","Unknown","Treated at Hospital","Not Worn"
"Male","017","Thrown Out","Admitted to Hospital","Not Worn"
"Male","049","Unknown","Admitted to Hospital","Not Worn"
"Male","040","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","031","Not Thrown Out","Treated at Hospital","Not Worn"
"Male","042","Thrown Out","Treated at Hospital","Not Worn"
"Female","045","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Female","020","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","023","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","058","Unknown","Treated at Hospital","Not Worn"
"Male","048","Thrown Out","Admitted to Hospital","Not Worn"
"Female","041","Not Thrown Out","Treated at Hospital","Not Fitted"
"Male","032","Unknown","Treated at Hospital","Not Worn"
"Male","029","Thrown Out","Treated at Hospital","Not Worn"
"Female","037","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","026","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","059","Unknown","Admitted to Hospital","Not Worn"
"Female","059","Unknown","Fatal","Not Worn"
"Female","015","Unknown","Treated at Hospital","Not Worn"
"Male","062","Thrown Out","Admitted to Hospital","Not Worn"
"Male","017","Thrown Out","Admitted to Hospital","Not Worn"
"Female","020","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","055","Thrown Out","By Private","Not Worn"
"Female","022","Unknown","Admitted to Hospital","Not Worn"
"Male","053","Thrown Out","Admitted to Hospital","Not Worn"
"Male","019","Thrown Out","Admitted to Hospital","Not Worn"
"Male","061","Thrown Out","Admitted to Hospital","Not Worn"
"Male","068","Thrown Out","Treated at Hospital","Not Worn"
"Male","040","Thrown Out","Admitted to Hospital","Not Worn"
"Male","043","Thrown Out","Admitted to Hospital","Not Worn"
"Male","083","Thrown Out","Admitted to Hospital","Not Worn"
"Male","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","067","Not Thrown Out","Treated at Hospital","Not Fitted"
"Male","010","Thrown Out","Treated at Hospital","Not Worn"
"Male","074","Unknown","Treated at Hospital","Not Worn"
"Male","060","Thrown Out","Admitted to Hospital","Not Worn"
"Male","055","Thrown Out","Treated at Hospital","Not Worn"
"Male","XXX","Thrown Out","Treated at Hospital","Not Worn"
"Male","026","Thrown Out","Treated at Hospital","Not Worn"
"Male","032","Thrown Out","Admitted to Hospital","Not Worn"
"Male","006","Unknown","Treated at Hospital","Not Worn"
"Male","006","Unknown","Treated at Hospital","Not Worn"
"Male","020","Thrown Out","Treated at Hospital","Not Worn"
"Male","027","Thrown Out","Admitted to Hospital","Not Worn"
"Male","040","Thrown Out","Admitted to Hospital","Not Worn"
"Male","052","Not Thrown Out","Admitted to Hospital","Not Worn"
"Male","078","Unknown","Fatal","Not Worn"
"Male","018","Thrown Out","Admitted to Hospital","Not Worn"
"Female","017","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Male","060","Thrown Out","Admitted to Hospital","Not Worn"
"Male","019","Thrown Out","Admitted to Hospital","Not Worn"
"Male","052","Thrown Out","Treated at Hospital","Not Worn"
"Male","035","Thrown Out","By Private","Not Worn"
"Female","020","Thrown Out","Treated at Hospital","Not Worn"
"Male","084","Unknown","Admitted to Hospital","Not Worn"
"Male","066","Thrown Out","Treated at Hospital","Not Worn"
"Female","056","Thrown Out","Treated at Hospital","Not Worn"
"Male","021","Thrown Out","Admitted to Hospital","Not Worn"
"Female","025","Unknown","Treated at Hospital","Not Worn"
"Male","047","Thrown Out","Treated at Hospital","Not Worn"
"Male","052","Thrown Out","By Private","Not Worn"
"Male","057","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Unknown","Treated at Hospital","Not Worn"
"Male","063","Thrown Out","Admitted to Hospital","Not Worn"
"Male","052","Thrown Out","Treated at Hospital","Not Worn"
"Male","030","Unknown","Treated at Hospital","Not Worn"
"Female","078","Unknown","Treated at Hospital","Not Worn"
"Male","068","Thrown Out","Admitted to Hospital","Not Worn"
"Male","054","Thrown Out","Treated at Hospital","Not Worn"
"Female","021","Thrown Out","Treated at Hospital","Not Worn"
"Female","082","Unknown","Treated at Hospital","Not Worn"
"Male","041","Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Unknown","Treated at Hospital","Not Worn"
"Female","020","Thrown Out","By Private","Not Worn"
"Male","018","Thrown Out","By Private","Not Worn"
"Male","060","Thrown Out","Admitted to Hospital","Not Worn"
"Male","017","Thrown Out","Treated at Hospital","Not Worn"
"Male","052","Thrown Out","Treated at Hospital","Not Worn"
"Female","032","Thrown Out","Fatal","Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Thrown Out","Treated at Hospital","Not Worn"
"Male","020","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","012","Thrown Out","Treated at Hospital","Not Worn"
"Male","028","Thrown Out","Admitted to Hospital","Not Worn"
"Male","020","Thrown Out","Admitted to Hospital","Not Worn"
"Male","036","Thrown Out","Treated at Hospital","Not Worn"
"Female","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","XXX","Not Thrown Out","Treated at Hospital","Not Applicable"
"Male","060","Thrown Out","Treated at Hospital","Not Worn"
"Female","046","Thrown Out","By Private","Not Worn"
"Male","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","032","Thrown Out","Treated at Hospital","Not Worn"
"Male","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Male","068","Thrown Out","Admitted to Hospital","Not Worn"
"Male","050","Not Thrown Out","By Private","Not Fitted"
"Male","019","Unknown","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Admitted to Hospital","Not Worn"
"Male","047","Thrown Out","Admitted to Hospital","Not Worn"
"Male","016","Thrown Out","Fatal","Not Worn"
"Male","026","Thrown Out","By Private","Not Worn"
"Male","063","Thrown Out","Admitted to Hospital","Not Worn"
"Male","055","Not Thrown Out","Fatal","Fitted - Not Worn"
"Male","034","Unknown","By Private","Not Worn"
"Female","077","Unknown","Admitted to Hospital","Not Worn"
"Male","030","Thrown Out","Treated at Hospital","Not Worn"
"Female","026","Thrown Out","Treated at Hospital","Not Worn"
"Male","012","Thrown Out","Admitted to Hospital","Not Worn"
"Male","048","Thrown Out","Admitted to Hospital","Not Worn"
"Male","057","Thrown Out","Admitted to Hospital","Not Worn"
"Female","046","Not Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Thrown Out","Treated at Hospital","Not Worn"
"Female","032","Thrown Out","By Private","Not Worn"
"Female","034","Unknown","Admitted to Hospital","Not Worn"
"Male","047","Thrown Out","Fatal","Not Worn"
"Male","020","Thrown Out","By Private","Not Worn"
"Male","044","Thrown Out","Treated at Hospital","Not Worn"
"Female","058","Thrown Out","Admitted to Hospital","Not Worn"
"Male","023","Thrown Out","Treated at Hospital","Not Worn"
"Male","005","Unknown","Treated at Hospital","Not Worn"
"Female","043","Unknown","By Private","Not Worn"
"Male","039","Thrown Out","Admitted to Hospital","Not Worn"
"Male","046","Thrown Out","Treated at Hospital","Not Worn"
"Male","XXX","Thrown Out","Treated at Hospital","Not Worn"
"Male","043","Thrown Out","Admitted to Hospital","Not Worn"
"Male","065","Thrown Out","By Private","Not Worn"
"Male","069","Unknown","Admitted to Hospital","Not Worn"
"Male","031","Thrown Out","Admitted to Hospital","Not Worn"
"Male","053","Thrown Out","Treated at Hospital","Not Worn"
"Male","054","Thrown Out","Treated at Hospital","Not Worn"
"Male","043","Thrown Out","Admitted to Hospital","Not Worn"
"Male","011","Thrown Out","Treated at Hospital","Not Worn"
"Male","064","Thrown Out","Admitted to Hospital","Not Worn"
"Female","029","Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","028","Unknown","Treated at Hospital","Not Worn"
"Male","049","Thrown Out","Admitted to Hospital","Not Worn"
"Female","044","Thrown Out","Treated at Hospital","Not Worn"
"Male","072","Unknown","By Private","Not Worn"
"Male","031","Not Thrown Out","By Private","Fitted - Not Worn"
"Male","020","Unknown","Admitted to Hospital","Not Worn"
"Male","031","Thrown Out","Treated at Hospital","Not Worn"
"Male","040","Thrown Out","Treated at Hospital","Not Worn"
"Male","042","Unknown","Treated at Hospital","Not Worn"
"Female","003","Not Thrown Out","Treated at Hospital","Child Restraint - Not Worn"
"Male","060","Thrown Out","Admitted to Hospital","Not Worn"
"Male","079","Unknown","Treated at Hospital","Not Worn"
"Male","059","Thrown Out","Admitted to Hospital","Not Worn"
"Female","025","Not Thrown Out","By Private","Fitted - Not Worn"
"Male","026","Unknown","Treated at Hospital","Not Worn"
"Male","059","Thrown Out","By Private","Not Worn"
"Male","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Unknown","Treated at Hospital","Not Worn"
"Male","052","Thrown Out","Admitted to Hospital","Not Worn"
"Male","025","Thrown Out","Admitted to Hospital","Not Worn"
"Male","033","Thrown Out","Treated at Hospital","Not Worn"
"Female","007","Unknown","Admitted to Hospital","Not Worn"
"Male","019","Thrown Out","Treated at Hospital","Not Worn"
"Male","047","Thrown Out","Admitted to Hospital","Not Worn"
"Female","047","Thrown Out","Admitted to Hospital","Not Worn"
"Male","055","Thrown Out","Treated at Hospital","Not Worn"
"Male","011","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","028","Thrown Out","Treated at Hospital","Not Worn"
"Female","037","Thrown Out","Treated at Hospital","Not Worn"
"Male","092","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Female","052","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","011","Thrown Out","Treated at Hospital","Not Worn"
"Unknown","XXX","Unknown","Treated at Hospital","Not Worn"
"Male","037","Thrown Out","By Private","Not Worn"
"Male","030","Thrown Out","Admitted to Hospital","Not Worn"
"Male","059","Thrown Out","By Private","Not Worn"
"Female","043","Thrown Out","Treated at Hospital","Not Worn"
"Male","050","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Female","054","Unknown","Treated at Hospital","Not Worn"
"Male","058","Thrown Out","Treated at Hospital","Not Worn"
"Male","054","Thrown Out","Treated at Hospital","Not Worn"
"Male","063","Thrown Out","By Private","Not Worn"
"Male","035","Thrown Out","By Private","Not Worn"
"Male","033","Thrown Out","By Private","Not Worn"
"Male","084","Thrown Out","By Private","Not Worn"
"Male","017","Thrown Out","Admitted to Hospital","Not Worn"
"Male","035","Thrown Out","Admitted to Hospital","Not Worn"
"Male","015","Unknown","Treated at Hospital","Not Worn"
"Male","026","Thrown Out","Treated at Hospital","Not Worn"
"Male","029","Thrown Out","Treated at Hospital","Not Worn"
"Female","045","Not Thrown Out","Treated at Hospital","Not Applicable"
"Female","047","Thrown Out","By Private","Not Worn"
"Female","055","Unknown","Treated at Hospital","Not Worn"
"Male","061","Unknown","Treated at Hospital","Not Worn"
"Female","033","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","019","Thrown Out","Treated at Hospital","Not Worn"
"Male","031","Unknown","Treated at Hospital","Not Worn"
"Male","042","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Unknown","Treated at Hospital","Not Worn"
"Male","057","Thrown Out","Treated at Hospital","Not Worn"
"Female","058","Thrown Out","Treated at Hospital","Not Worn"
"Female","036","Thrown Out","By Private","Not Worn"
"Male","053","Unknown","Treated at Hospital","Not Worn"
"Male","059","Thrown Out","Treated at Hospital","Not Worn"
"Female","005","Unknown","Admitted to Hospital","Not Worn"
"Male","021","Thrown Out","Treated at Hospital","Not Worn"
"Female","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","054","Thrown Out","Treated at Hospital","Not Worn"
"Male","069","Thrown Out","Treated at Hospital","Not Fitted"
"Male","045","Thrown Out","Admitted to Hospital","Not Worn"
"Female","072","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Female","026","Unknown","Treated at Hospital","Not Worn"
"Male","062","Thrown Out","Treated at Hospital","Not Worn"
"Male","002","Unknown","Admitted to Hospital","Not Worn"
"Female","029","Thrown Out","Treated at Hospital","Not Worn"
"Male","062","Thrown Out","Treated at Hospital","Not Worn"
"Male","038","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Male","050","Thrown Out","Admitted to Hospital","Not Worn"
"Male","071","Thrown Out","Treated at Hospital","Not Worn"
"Male","077","Not Thrown Out","By Private","Fitted - Not Worn"
"Male","037","Thrown Out","Treated at Hospital","Not Worn"
"Female","023","Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","055","Thrown Out","Treated at Hospital","Not Worn"
"Male","055","Thrown Out","Treated at Hospital","Not Worn"
"Male","044","Unknown","Treated at Hospital","Not Worn"
"Male","020","Thrown Out","Treated at Hospital","Not Worn"
"Male","050","Thrown Out","Admitted to Hospital","Not Worn"
"Male","060","Thrown Out","Treated at Hospital","Not Worn"
"Male","028","Thrown Out","Admitted to Hospital","Not Worn"
"Male","059","Thrown Out","Treated at Hospital","Not Worn"
"Male","037","Thrown Out","Treated at Hospital","Not Worn"
"Male","035","Thrown Out","Admitted to Hospital","Not Worn"
"Male","028","Thrown Out","Treated at Hospital","Not Worn"
"Male","039","Thrown Out","Admitted to Hospital","Not Worn"
"Male","048","Thrown Out","Treated at Hospital","Not Worn"
"Male","035","Thrown Out","Admitted to Hospital","Not Worn"
"Female","048","Unknown","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Unknown","XXX","Thrown Out","Treated at Hospital","Not Worn"
"Male","056","Thrown Out","Treated at Hospital","Not Worn"
"Female","019","Unknown","Admitted to Hospital","Not Worn"
"Male","055","Thrown Out","Admitted to Hospital","Not Worn"
"Male","030","Thrown Out","Admitted to Hospital","Not Worn"
"Male","045","Thrown Out","Admitted to Hospital","Not Worn"
"Male","033","Thrown Out","Admitted to Hospital","Not Worn"
"Female","045","Thrown Out","By Private","Not Worn"
"Male","063","Thrown Out","Treated at Hospital","Not Worn"
"Male","065","Thrown Out","Treated at Hospital","Not Worn"
"Male","058","Thrown Out","By Private","Not Worn"
